gene_symbol	ensembl_gene_id	uniprot_id	protein_class	is_secreted	signal_peptide	orf_length_bp
ACP3	ENSG00000014257	P15309	secreted_enzyme	True	True	1158
ACP4	ENSG00000142513	Q9BZG2	enzyme	False	True	1278
ACP5	ENSG00000102575	P13686	enzyme	False	True	975
ACP6	ENSG00000162836	Q9NPH0	enzyme	False	False	1284
ACP7	ENSG00000183760	Q6ZNF0	secreted_enzyme	True	True	1314
ACR	ENSG00000100312	P10323	enzyme	False	True	1263
ACRBP	ENSG00000111644	Q8NEB7	secreted_protein	True	True	1629
ACRV1	ENSG00000134940	P26436	unknown	False	True	795
ACSBG1	ENSG00000103740	Q96GR2	enzyme	False	False	2172
ACSBG2	ENSG00000130377	Q5FVE4	enzyme	False	False	1998
ACSF2	ENSG00000167107	Q96CM8	enzyme	False	False	1845
ACSF3	ENSG00000176715	Q4G176	enzyme	False	False	1728
ACSL1	ENSG00000151726	P33121	enzyme	False	False	2094
ACSL3	ENSG00000123983	O95573	enzyme	False	False	2160
ACSL4	ENSG00000068366	O60488	enzyme	False	False	2133
ACSL5	ENSG00000197142	Q9ULC5	enzyme	False	False	2049
ACSL6	ENSG00000164398	Q9UKU0	enzyme	False	False	2091
ACSM1	ENSG00000166743	Q08AH1	enzyme	False	False	1731
ACSM2A	ENSG00000183747	Q08AH3	enzyme	False	False	1731
ACSM2B	ENSG00000066813	Q68CK6	enzyme	False	False	1731
ACSM3	ENSG00000005187	Q53FZ2	enzyme	False	False	1758
ACSM4	ENSG00000215009	P0C7M7	enzyme	False	False	1740
ACSM5	ENSG00000183549	Q6NUN0	enzyme	False	False	1737
ACSM6	ENSG00000173124	Q6P461	enzyme	False	False	1440
ACSS1	ENSG00000154930	Q9NUB1	enzyme	False	False	2067
ACSS2	ENSG00000131069	Q9NR19	enzyme	False	False	2103
ACSS3	ENSG00000111058	Q9H6R3	enzyme	False	False	2058
ACTA1	ENSG00000143632	P68133	cytoskeletal	False	False	1131
ACTA2	ENSG00000107796	P62736	cytoskeletal	False	False	1131
ACTB	ENSG00000075624	P60709	cytoskeletal	False	False	1125
ACTBL2	ENSG00000169067	Q562R1	cytoskeletal	False	False	1128
ACTC1	ENSG00000159251	P68032	cytoskeletal	False	False	1131
ACTG1	ENSG00000184009	P63261	cytoskeletal	False	False	1125
ACTG2	ENSG00000163017	P63267	cytoskeletal	False	False	1128
ACTL10	ENSG00000288649	Q5JWF8	unknown	False	False	735
ACTL6A	ENSG00000136518	O96019	regulator	False	False	1287
ACTL6B	ENSG00000077080	O94805	regulator	False	False	1278
ACTL7A	ENSG00000187003	Q9Y615	cytoskeletal	False	False	1305
ACTL7B	ENSG00000148156	Q9Y614	cytoskeletal	False	False	1245
ACTL8	ENSG00000117148	Q9H568	cytoskeletal	False	False	1098
ACTL9	ENSG00000181786	Q8TC94	cytoskeletal	False	False	1248
ACTMAP	ENSG00000188493	Q5BKX5	enzyme	False	False	1053
ACTN1	ENSG00000072110	P12814	cytoskeletal	False	False	2676
ACTN2	ENSG00000077522	P35609	unknown	False	False	2682
ACTN3	ENSG00000248746	Q08043	unknown	False	False	2703
ACTN4	ENSG00000130402	O43707	transport_protein	False	False	2733
ACTR10	ENSG00000131966	Q9NZ32	cytoskeletal	False	False	1251
ACTR1A	ENSG00000138107	P61163	cytoskeletal	False	False	1128
ACTR1B	ENSG00000115073	P42025	cytoskeletal	False	False	1128
ACTR2	ENSG00000138071	P61160	cytoskeletal	False	False	1182
ACTR3	ENSG00000115091	P61158	cytoskeletal	False	False	1254
ACTR3B	ENSG00000133627	Q9P1U1	cytoskeletal	False	False	1254
ACTR3C	ENSG00000106526	Q9C0K3	unknown	False	True	630
ACTR5	ENSG00000101442	Q9H9F9	unknown	False	False	1821
ACTR6	ENSG00000075089	Q9GZN1	cytoskeletal	False	False	1188
ACTR8	ENSG00000113812	Q9H981	unknown	False	False	1872
ACTRT1	ENSG00000123165	Q8TDG2	cytoskeletal	False	False	1128
ACTRT2	ENSG00000169717	Q8TDY3	cytoskeletal	False	False	1131
ACTRT3	ENSG00000184378	Q9BYD9	cytoskeletal	False	False	1116
ACVR1	ENSG00000115170	Q04771	receptor_kinase	False	True	1527
ACVR1B	ENSG00000135503	P36896	receptor_kinase	False	True	1515
ACVR1C	ENSG00000123612	Q8NER5	receptor_kinase	False	True	1479
ACVR2A	ENSG00000121989	P27037	receptor_kinase	False	True	1539
ACVR2B	ENSG00000114739	Q13705	receptor_kinase	False	True	1536
ACVRL1	ENSG00000139567	P37023	receptor_kinase	False	True	1509
ACY1	ENSG00000243989	Q03154	enzyme	False	False	1224
ACY3	ENSG00000132744	Q96HD9	enzyme	False	False	957
ACYP1	ENSG00000119640	P07311	enzyme	False	False	297
ACYP2	ENSG00000170634	P14621	enzyme	False	False	297
ADA	ENSG00000196839	P00813	enzyme	False	False	1089
ADA2	ENSG00000093072	Q9NZK5	secreted_enzyme	True	True	1533
ADAD1	ENSG00000164113	Q96M93	rna_binding	False	False	1728
ADAD2	ENSG00000140955	Q8NCV1	rna_binding	False	False	1749
ADAM10	ENSG00000137845	O14672	enzyme	False	True	2244
ADAM11	ENSG00000073670	O75078	membrane_protein	False	True	2307
ADAM12	ENSG00000148848	O43184	secreted_enzyme	True	True	2727
ADAM15	ENSG00000143537	Q13444	enzyme	False	True	2589
ADAM17	ENSG00000151694	P78536	enzyme	False	True	2472
ADAM18	ENSG00000168619	Q9Y3Q7	membrane_protein	False	True	2217
ADAM19	ENSG00000135074	Q9H013	enzyme	False	True	2865
ADAM2	ENSG00000104755	Q99965	membrane_protein	False	True	2205
ADAM20	ENSG00000134007	O43506	enzyme	False	True	2178
ADAM21	ENSG00000139985	Q9UKJ8	enzyme	False	True	2166
ADAM22	ENSG00000008277	Q9P0K1	receptor	False	True	2718
ADAM23	ENSG00000114948	O75077	secreted_precursor	True	True	2496
ADAM28	ENSG00000042980	Q9UKQ2	secreted_enzyme	True	True	2325
ADAM29	ENSG00000168594	Q9UKF5	membrane_protein	False	True	2460
ADAM30	ENSG00000134249	Q9UKF2	enzyme	False	True	2370
ADAM32	ENSG00000197140	Q8TC27	membrane_protein	False	True	2361
ADAM33	ENSG00000149451	Q9BZ11	enzyme	False	True	2439
ADAM7	ENSG00000069206	Q9H2U9	membrane_protein	False	True	2262
ADAM8	ENSG00000151651	P78325	enzyme	False	True	2472
ADAM9	ENSG00000168615	Q13443	secreted_enzyme	True	True	2457
ADAMDEC1	ENSG00000134028	O15204	secreted_enzyme	True	True	1410
ADAMTS1	ENSG00000154734	Q9UHI8	secreted_enzyme	True	True	2901
ADAMTS10	ENSG00000142303	Q9H324	secreted_enzyme	True	True	3309
ADAMTS12	ENSG00000151388	P58397	secreted_enzyme	True	True	4782
ADAMTS13	ENSG00000160323	Q76LX8	secreted_enzyme	True	True	4281
ADAMTS14	ENSG00000138316	Q8WXS8	secreted_enzyme	True	True	3669
ADAMTS15	ENSG00000166106	Q8TE58	secreted_enzyme	True	True	2850
ADAMTS16	ENSG00000145536	Q8TE57	secreted_enzyme	True	True	3672
ADAMTS17	ENSG00000140470	Q8TE56	secreted_enzyme	True	True	3285
ADAMTS18	ENSG00000140873	Q8TE60	secreted_enzyme	True	True	3663
ADAMTS19	ENSG00000145808	Q8TE59	secreted_enzyme	True	True	3639
ADAMTS2	ENSG00000087116	O95450	secreted_enzyme	True	True	3633
ADAMTS20	ENSG00000173157	P59510	secreted_enzyme	True	True	5730
ADAMTS3	ENSG00000156140	O15072	secreted_enzyme	True	True	3615
ADAMTS4	ENSG00000158859	O75173	secreted_enzyme	True	True	2511
ADAMTS5	ENSG00000154736	Q9UNA0	secreted_enzyme	True	True	2790
ADAMTS6	ENSG00000049192	Q9UKP5	secreted_enzyme	True	True	3351
ADAMTS7	ENSG00000136378	Q9UKP4	secreted_enzyme	True	True	5058
ADAMTS8	ENSG00000134917	Q9UP79	secreted_enzyme	True	True	2667
ADAMTS9	ENSG00000163638	Q9P2N4	secreted_enzyme	True	True	5805
ADAMTSL1	ENSG00000178031	Q8N6G6	secreted_enzyme	True	True	5286
ADAMTSL2	ENSG00000197859	Q86TH1	secreted_protein	True	True	2853
ADAMTSL3	ENSG00000156218	P82987	secreted_protein	True	True	5073
ADAMTSL4	ENSG00000143382	Q6UY14	secreted_protein	True	True	3222
ADAP1	ENSG00000105963	O75689	unknown	False	False	1122
ADAP2	ENSG00000184060	Q9NPF8	membrane_protein	False	False	1143
ADAR	ENSG00000160710	P55265	rna_binding	False	False	3678
ADARB1	ENSG00000197381	P78563	rna_binding	False	False	2223
ADARB2	ENSG00000185736	Q9NS39	rna_binding	False	False	2217
ADAT1	ENSG00000065457	Q9BUB4	enzyme	False	False	1506
ADAT2	ENSG00000189007	Q7Z6V5	enzyme	False	False	573
ADCK1	ENSG00000063761	Q86TW2	kinase	False	False	1590
ADCK2	ENSG00000133597	Q7Z695	kinase	False	False	1878
ADCK5	ENSG00000173137	Q3MIX3	kinase	False	False	1740
ADCY1	ENSG00000164742	Q08828	enzyme	False	False	3357
ADCY10	ENSG00000143199	Q96PN6	cytoskeletal	False	False	4830
ADCY2	ENSG00000078295	Q08462	enzyme	False	False	3273
ADCY3	ENSG00000138031	O60266	enzyme	False	False	3432
ADCY4	ENSG00000129467	Q8NFM4	enzyme	False	False	3231
ADCY5	ENSG00000173175	O95622	enzyme	False	False	3783
ADCY6	ENSG00000174233	O43306	enzyme	False	False	3504
ADCY7	ENSG00000121281	P51828	enzyme	False	False	3240
ADCY8	ENSG00000155897	P40145	enzyme	False	False	3753
ADCY9	ENSG00000162104	O60503	enzyme	False	False	4059
ADCYAP1	ENSG00000141433	P18509	secreted_hormone	True	True	528
ADCYAP1R1	ENSG00000078549	P41586	gpcr	False	True	1404
ADD1	ENSG00000087274	P35611	cytoskeletal	False	False	2211
ADD2	ENSG00000075340	P35612	cytoskeletal	False	False	2178
ADD3	ENSG00000148700	Q9UEY8	cytoskeletal	False	False	2118
ADGB	ENSG00000118492	Q8N7X0	unknown	False	False	5001
ADGRA1	ENSG00000197177	Q86SQ6	gpcr	False	False	1680
ADGRA2	ENSG00000020181	Q96PE1	gpcr	False	True	4014
ADGRA3	ENSG00000152990	Q8IWK6	gpcr	False	True	3963
ADGRB1	ENSG00000181790	O14514	secreted_protein	True	True	4752
ADGRB2	ENSG00000121753	O60241	secreted_protein	True	True	4755
ADGRB3	ENSG00000135298	O60242	gpcr	False	True	4566
ADGRD1	ENSG00000111452	Q6QNK2	gpcr	False	True	2622
ADGRE1	ENSG00000174837	Q14246	gpcr	False	True	2658
ADGRE2	ENSG00000127507	Q9UHX3	gpcr	False	True	2469
ADGRE3	ENSG00000131355	Q9BY15	secreted_protein	True	True	1956
ADGRE5	ENSG00000123146	P48960	secreted_protein	True	True	2505
ADGRF1	ENSG00000153292	Q5T601	secreted_protein	True	True	2730
ADGRF3	ENSG00000173567	Q8IZF5	gpcr	False	True	3237
ADGRF4	ENSG00000153294	Q8IZF3	gpcr	False	True	2085
ADGRF5	ENSG00000069122	Q8IZF2	gpcr	False	True	4038
ADGRG1	ENSG00000205336	Q9Y653	secreted_protein	True	True	2079
ADGRG2	ENSG00000173698	Q8IZP9	gpcr	False	True	3051
ADGRG3	ENSG00000182885	Q86Y34	gpcr	False	True	1647
ADGRG4	ENSG00000156920	Q8IZF6	gpcr	False	True	9240
ADGRG5	ENSG00000159618	Q8IZF4	gpcr	False	True	1584
ADGRG6	ENSG00000112414	Q86SQ4	gpcr	False	True	3663
ADGRG7	ENSG00000144820	Q96K78	gpcr	False	True	2391
ADGRL1	ENSG00000072071	O94910	gpcr	False	True	4422
ADGRL2	ENSG00000117114	O95490	gpcr	False	True	4377
ADGRL3	ENSG00000150471	Q9HAR2	gpcr	False	True	4341
ADGRL4	ENSG00000162618	Q9HBW9	gpcr	False	True	2070
ADGRV1	ENSG00000164199	Q8WXG9	gpcr	False	True	18918
ADH1A	ENSG00000187758	P07327	enzyme	False	False	1125
ADH1B	ENSG00000196616	P00325	enzyme	False	False	1125
ADH1C	ENSG00000248144	P00326	enzyme	False	False	1125
ADH4	ENSG00000198099	P08319	enzyme	False	False	1140
ADH5	ENSG00000197894	P11766	enzyme	False	False	1122
ADH6	ENSG00000172955	P28332	enzyme	False	False	1104
ADH7	ENSG00000196344	P40394	enzyme	False	False	1158
ADHFE1	ENSG00000147576	Q8IWW8	enzyme	False	False	1401
ADI1	ENSG00000182551	Q9BV57	enzyme	False	False	537
ADIG	ENSG00000182035	Q0VDE8	membrane_protein	False	False	240
ADIPOQ	ENSG00000181092	Q15848	secreted_hormone	True	True	732
ADIPOR1	ENSG00000159346	Q96A54	receptor	False	False	1125
ADIPOR2	ENSG00000006831	Q86V24	receptor	False	False	1158
ADIRF	ENSG00000148671	Q15847	unknown	False	False	228
ADISSP	ENSG00000101220	Q9GZN8	secreted_protein	True	False	522
ADK	ENSG00000156110	P55263	kinase	False	False	1086
ADM	ENSG00000148926	P35318	secreted_hormone	True	True	555
ADM2	ENSG00000128165	Q7Z4H4	secreted_hormone	True	True	444
ADM5	ENSG00000224420	C9JUS6	secreted_protein	True	True	459
ADNP	ENSG00000101126	Q9H2P0	transcription_factor	False	False	3306
ADNP2	ENSG00000101544	Q6IQ32	transcription_factor	False	False	3393
ADO	ENSG00000181915	Q96SZ5	enzyme	False	False	810
ADORA1	ENSG00000163485	P30542	gpcr	False	False	978
ADORA2A	ENSG00000128271	P29274	gpcr	False	False	1236
ADORA2B	ENSG00000170425	P29275	gpcr	False	False	996
ADORA3	ENSG00000282608	P0DMS8	gpcr	False	False	954
ADPGK	ENSG00000159322	Q9BRR6	secreted_enzyme	True	True	1491
ADPRH	ENSG00000144843	P54922	enzyme	False	False	1071
ADPRHL1	ENSG00000153531	Q8NDY3	unknown	False	False	1062
ADPRM	ENSG00000170222	Q3LIE5	enzyme	False	False	1026
ADPRS	ENSG00000116863	Q9NX46	enzyme	False	False	1089
ADRA1A	ENSG00000120907	P35348	gpcr	False	False	1398
ADRA1B	ENSG00000170214	P35368	gpcr	False	False	1560
ADRA1D	ENSG00000171873	P25100	gpcr	False	False	1716
ADRA2A	ENSG00000150594	P08913	gpcr	False	False	1395
ADRA2B	ENSG00000274286	P18089	gpcr	False	False	1350
ADRA2C	ENSG00000184160	P18825	gpcr	False	False	1386
ADRB1	ENSG00000043591	P08588	gpcr	False	False	1431
ADRB2	ENSG00000169252	P07550	gpcr	False	False	1239
ADRB3	ENSG00000188778	P13945	gpcr	False	False	1224
ADRM1	ENSG00000130706	Q16186	unknown	False	False	1221
ADSL	ENSG00000239900	P30566	enzyme	False	False	1452
ADSS1	ENSG00000185100	Q8N142	enzyme	False	False	1371
ADSS2	ENSG00000035687	P30520	enzyme	False	False	1368
ADTRP	ENSG00000111863	Q96IZ2	enzyme	False	False	690
AEBP1	ENSG00000106624	Q8IUX7	secreted_protein	True	True	3474
AEBP2	ENSG00000139154	Q6ZN18	transcription_factor	False	False	1551
AEN	ENSG00000181026	Q8WTP8	enzyme	False	False	975
AFAP1	ENSG00000196526	Q8N556	cytoskeletal	False	False	2190
AFAP1L1	ENSG00000157510	Q8TED9	cytoskeletal	False	False	2304
AFAP1L2	ENSG00000169129	Q8N4X5	unknown	False	False	2454
AFDN	ENSG00000130396	P55196	unknown	False	False	5472
AFF1	ENSG00000172493	P51825	unknown	False	False	3630
AFF2	ENSG00000155966	P51816	rna_binding	False	False	3933
AFF3	ENSG00000144218	P51826	transcription_factor	False	False	3678
AFF4	ENSG00000072364	Q9UHB7	unknown	False	False	3489
AFG1L	ENSG00000135537	Q8WV93	enzyme	False	False	1443
AFG2A	ENSG00000145375	Q8NB90	cytoskeletal	False	False	2679
AFG2B	ENSG00000171763	Q9BVQ7	cytoskeletal	False	False	2259
AFG3L2	ENSG00000141385	Q9Y4W6	enzyme	False	False	2391
AFM	ENSG00000079557	P43652	secreted_transfer_protein	True	True	1797
AFMID	ENSG00000183077	Q63HM1	enzyme	False	False	909
