ensembl_gene_id	score_D2_clinical_signal	missingness_D2_clinical_signal
ENSG00000181856	-0.546470	1
ENSG00000183914	-0.546470	1
ENSG00000184304	-0.546470	1
ENSG00000185000	-0.546470	1
ENSG00000185950	-0.546470	1
ENSG00000186188	1.145466	0
ENSG00000186951	2.499015	0
ENSG00000187094	-0.546470	1
ENSG00000187486	-0.546470	1
ENSG00000187555	-0.546470	1
ENSG00000187871	1.145466	0
ENSG00000188778	1.145466	0
ENSG00000188822	-0.546470	1
ENSG00000196689	1.145466	0
ENSG00000197635	2.499015	0
ENSG00000198793	-0.546470	1
ENSG00000198911	-0.546470	1
ENSG00000204133	-0.546470	1
ENSG00000204952	-0.546470	1
ENSG00000213398	-0.546470	1
ENSG00000232810	-0.546470	1
ENSG00000241335	-0.546470	1
ENSG00000244405	-0.546470	1
ENSG00000248099	-0.546470	1
ENSG00000254647	2.499015	0
ENSG00000266265	-0.546470	1
ENSG00000275410	-0.546470	1
